city_or_county,state_abr,n_rpts_x,n_injured_x,n_killed_x,n_injured_y,n_rpts_y,n_killed_y
Darby (Collingdale),PA,6,3,0,3,6,0
Darby (Colwyn),PA,2,1,3,1,2,3
Dardanelle,AR,1,0,3,0,1,3
Darien,CT,4,0,0,0,4,0
Darien,IL,5,2,0,2,5,0
Darien,NY,1,1,0,1,1,0
Darke County,OH,1,1,0,1,1,0
Darlington,GA,1,0,0,0,1,0
Darlington,IN,1,0,0,0,1,0
Darlington,MD,3,1,1,1,3,1
Darlington,PA,1,0,2,0,1,2
Darlington,SC,52,24,12,24,52,12
Darlington,WI,1,0,0,0,1,0
Darlington (county),SC,11,9,0,9,11,0
Darlington County,SC,5,5,2,5,5,2
Darrington,WA,2,0,0,0,2,0
Darrow,LA,1,1,1,1,1,1
Dartmouth,MA,13,3,1,3,13,1
Dassel,MN,1,1,0,1,1,0
Daufuskie Island,SC,1,0,0,0,1,0
Dauphin,PA,1,0,0,0,1,0
Dauphin (county),PA,1,0,0,0,1,0
Dauphin County,PA,2,0,0,0,2,0
Davenport,FL,3,0,1,0,3,1
Davenport,IA,317,95,29,95,317,29
Davenport,OK,1,1,0,1,1,0
Davenport,WA,1,0,0,0,1,0
Davidson,NC,2,0,2,0,2,2
Davidson (county),NC,5,2,4,2,5,4
Davidson (county),TN,5,0,0,0,5,0
Davidson County,NC,5,3,2,3,5,2
Davidson County,TN,1,0,0,0,1,0
Davie,FL,8,4,2,4,8,2
Davie (county),NC,1,1,0,1,1,0
Daviess (county),KY,3,2,1,2,3,1
Daviess County,IN,1,0,1,0,1,1
Daviess County,KY,3,1,0,1,3,0
Davis,CA,9,0,3,0,9,3
Davis,IL,1,0,1,0,1,1
Davis,NC,1,0,2,0,1,2
Davis County,UT,1,0,1,0,1,1
Davis Islands,FL,1,1,0,1,1,0
Davisburg (Springfield Township),MI,4,1,0,1,4,0
Davison,MI,5,0,1,0,5,1
Davisville,WV,1,0,0,0,1,0
Davy,WV,1,1,0,1,1,0
Dawn,VA,1,1,0,1,1,0
Dawson,GA,10,4,1,4,10,1
Dawson,MN,1,0,0,0,1,0
Dawson (county),GA,1,0,0,0,1,0
Dawson (county),NE,1,0,1,0,1,1
Dawson Springs,KY,3,3,0,3,3,0
Dawsonville,GA,7,3,4,3,7,4
Dayton,IA,2,0,1,0,2,1
Dayton,KY,2,0,0,0,2,0
Dayton,MD,1,0,1,0,1,1
Dayton,NJ,1,0,1,0,1,1
Dayton,NV,3,1,2,1,3,2
Dayton,OH,1016,489,137,489,1016,137
Dayton,OR,1,0,0,0,1,0
Dayton,PA,1,1,0,1,1,0
Dayton,TN,3,0,2,0,3,2
Dayton,TX,4,1,4,1,4,4
Dayton,VA,2,2,1,2,2,1
Dayton (Centerville),OH,7,5,1,5,7,1
Dayton (Harrison Township),OH,1,1,0,1,1,0
Dayton (Huber Heights),OH,18,9,2,9,18,2
Dayton (Kettering),OH,13,1,3,1,13,3
Dayton (Moraine),OH,6,2,2,2,6,2
Dayton (Riverside),OH,4,1,0,1,4,0
Dayton (South Brunswick),NJ,1,0,0,0,1,0
Dayton (Trotwood),OH,62,34,16,34,62,16
Dayton (Washington Township),OH,2,0,0,0,2,0
Dayton (West Carrollton),OH,2,0,2,0,2,2
Dayton (Wright Patterson Afb),OH,1,0,0,0,1,0
Daytona,FL,2,0,1,0,2,1
Daytona Beach,FL,177,94,28,94,177,28
Daytona Beach ,FL,2,0,0,0,2,0
Daytona Beach (Daytona Beach Shores),FL,2,0,1,0,2,1
Daytona Beach (Holly Hill),FL,11,9,1,9,11,1
Daytona Beach (South Daytona),FL,4,0,1,0,4,1
Daytona Beach Shores,FL,1,0,0,0,1,0
Dayville,CT,1,0,0,0,1,0
De Beque,CO,1,0,0,0,1,0
De Forest,WI,1,1,0,1,1,0
De Graff,OH,1,0,0,0,1,0
De Kalb,MS,4,2,2,2,4,2
De Kalb,TX,3,5,1,5,3,1
De Kalb Junction,NY,1,0,0,0,1,0
De Leon Springs,FL,2,0,3,0,2,3
De Mossville (Demossville),KY,1,0,1,0,1,1
De Pere,WI,4,0,1,0,4,1
De Queen,AR,1,0,1,0,1,1
De Ruyter (Deruyter),NY,1,1,1,1,1,1
De Soto,MO,3,0,1,0,3,1
De Soto (Desoto),MO,1,0,0,0,1,0
De Soto (county),LA,1,0,0,0,1,0
De Valls Bluff (Devalls Bluff),AR,1,0,1,0,1,1
De Witt,AR,1,1,0,1,1,0
De Witt (Dewitt),IA,2,1,1,1,2,1
DeKalb (county),AL,9,2,1,2,9,1
DeKalb County,AL,1,0,0,0,1,0
DeKalb County,GA,4,3,1,3,4,1
DeSoto,TX,1,0,0,0,1,0
Deadwood,SD,1,0,0,0,1,0
Deal,NJ,1,0,0,0,1,0
Deane,KY,1,0,2,0,1,2
Dearborn,MI,37,14,8,14,37,8
Dearborn,MO,1,0,0,0,1,0
Dearborn (county),MI,1,1,0,1,1,0
Dearborn County,IN,1,0,0,0,1,0
Dearborn Heights,MI,22,3,5,3,22,5
Dearing,GA,2,0,2,0,2,2
Deatsville,AL,2,0,2,0,2,2
Debary,FL,12,5,1,5,12,1
Debord,KY,1,0,1,0,1,1
Decatur,AL,97,47,23,47,97,23
Decatur,AR,1,1,0,1,1,0
Decatur,GA,147,103,82,103,147,82
Decatur,IL,140,76,23,76,140,23
Decatur,IN,3,0,1,0,3,1
Decatur,MI,1,0,0,0,1,0
Decatur,TN,3,1,3,1,3,3
Decatur,TX,1,0,0,0,1,0
Decatur (county),KS,1,0,1,0,1,1
Decatur (county),TN,1,0,1,0,1,1
Decatur County,GA,1,0,0,0,1,0
Decaturville,TN,1,0,0,0,1,0
Decherd,TN,1,0,1,0,1,1
Decker,IN,1,0,1,0,1,1
Deckerville,MI,1,0,1,0,1,1
Decorah,IA,1,0,2,0,1,2
Dedham,MA,4,2,0,2,4,0
Dedham,ME,1,0,0,0,1,0
Deep Gap,NC,1,1,0,1,1,0
Deep Run,NC,1,0,1,0,1,1
Deer Creek,MN,1,1,0,1,1,0
Deer Isle,ME,1,0,0,0,1,0
Deer Lodge,MT,3,1,6,1,3,6
Deer Lodge,TN,1,0,1,0,1,1
Deer Park,AL,1,0,1,0,1,1
Deer Park,NY,15,8,2,8,15,2
Deer Park,TX,5,0,1,0,5,1
Deer Park,WA,5,1,2,1,5,2
Deer River,MN,1,0,0,0,1,0
Deerfield,IL,3,0,1,0,3,1
Deerfield,MA,4,1,0,1,4,0
Deerfield,MI,1,1,0,1,1,0
Deerfield,NH,1,0,0,0,1,0
Deerfield,OH,1,2,0,2,1,0
Deerfield,WI,2,2,0,2,2,0
Deerfield Beach,FL,21,2,9,2,21,9
Deerfield Beach ,FL,1,0,0,0,1,0
Defiance,OH,6,2,4,2,6,4
Defuniak Springs,FL,24,7,1,7,24,1
Dekalb,GA,3,0,3,0,3,3
Dekalb,IL,9,1,2,1,9,2
Dekalb (DeKalb),IL,4,3,2,3,4,2
Dekalb (county),AL,1,0,0,0,1,0
Dekalb (county),GA,15,15,5,15,15,5
Dekalb (county),IN,2,1,0,1,2,0
Dekalb (county),MO,1,0,1,0,1,1
Dekalb County,AL,1,0,0,0,1,0
Dekalb County,GA,48,31,27,31,48,27
Dekalb County,TN,1,1,1,1,1,1
Del City,OK,4,4,1,4,4,1
Del Mar,CA,1,0,0,0,1,0
Del Rey,CA,1,0,1,0,1,1
Del Rio,TX,23,4,8,4,23,8
Del Valle,TX,10,2,10,2,10,10
Delafield,WI,1,0,0,0,1,0
Delanco,NJ,1,2,0,2,1,0
Deland,FL,51,24,12,24,51,12
Delano,CA,33,10,20,10,33,20
Delano,MN,1,0,0,0,1,0
Delano,TN,1,1,1,1,1,1
Delanson,NY,1,0,0,0,1,0
Delavan,IL,1,0,1,0,1,1
Delaware,OH,6,3,3,3,6,3
Delaware,OK,1,0,1,0,1,1
Delaware (county),IA,3,2,1,2,3,1
Delaware (county),IN,3,1,0,1,3,0
Delaware (county),OH,1,0,0,0,1,0
Delaware (county),OK,2,1,1,1,2,1
Delaware City,DE,2,1,0,1,2,0
Delaware County,IN,1,1,0,1,1,0
Delaware County,OK,1,1,0,1,1,0
Delaware County,PA,1,0,0,0,1,0
Delbarton,WV,1,1,0,1,1,0
Delco,NC,5,1,1,1,5,1
Delhi,CA,8,3,4,3,8,4
Delhi,OH,1,1,0,1,1,0
Delia,KS,1,1,0,1,1,0
Dell Rapids,SD,2,0,1,0,2,1
Delmar,DE,1,0,0,0,1,0
Delmar,MD,3,0,0,0,3,0
Delmar,WI,1,0,0,0,1,0
Delmar (Bethlehem),NY,1,0,0,0,1,0
Delran,NJ,2,1,0,1,2,0
Delray Beach,FL,86,24,23,24,86,23
Delray Beach (West Delray Beach),FL,1,0,1,0,1,1
Delta,AL,1,1,0,1,1,0
Delta,CO,3,0,0,0,3,0
Delta,MO,1,1,0,1,1,0
Delta,OH,2,0,2,0,2,2
Delta (county),CO,1,0,0,0,1,0
Delta Junction,AK,7,3,2,3,7,2
Delta Junction (Dot Lake),AK,1,0,0,0,1,0
Deltona,FL,80,37,19,37,80,19
Deltona ,FL,1,0,0,0,1,0
Deming,NM,5,0,5,0,5,5
Demopolis,AL,9,2,2,2,9,2
Demotte,IN,2,2,0,2,2,0
Denair,CA,1,1,0,1,1,0
Denali National Park,AK,1,0,1,0,1,1
Denham Springs,LA,25,7,11,7,25,11
Denham Springs ,LA,1,0,0,0,1,0
Denison,IA,2,1,2,1,2,2
Denison,TX,5,2,2,2,5,2
Denmark,IA,1,1,0,1,1,0
Denmark,SC,3,3,3,3,3,3
Denmark,TN,1,1,0,1,1,0
Denmark,WI,1,0,0,0,1,0
Denmark (New Denmark),WI,1,1,0,1,1,0
Dennis,MS,2,2,0,2,2,0
Dennis Port,MA,2,1,0,1,2,0
Dent,MN,1,0,0,0,1,0
Denton,MD,2,1,0,1,2,0
Denton,NC,5,4,2,4,5,2
Denton,TX,28,17,13,17,28,13
Denton (Corinth),TX,2,0,1,0,2,1
Denton County,TX,1,0,0,0,1,0
Denver,CO,690,319,208,319,690,208
Denver,NC,6,2,2,2,6,2
Denver,PA,7,2,0,2,7,0
Denver (Edgewater),CO,5,2,0,2,5,0
Denver (Federal Heights),CO,7,4,1,4,7,1
Denver (Glendale),CO,1,1,0,1,1,0
Denver (Lakewood),CO,2,0,0,0,2,0
Denver (Montbello),CO,1,2,0,2,1,0
Denver (North Glenn),CO,2,1,0,1,2,0
Denver (Northglenn),CO,17,10,3,10,17,3
Denville,NJ,1,0,2,0,1,2
Depew,NY,3,0,0,0,3,0
Deposit,NY,2,0,0,0,2,0
Deposit (Sanford),NY,1,1,0,1,1,0
Deptford,NJ,3,1,2,1,3,2
Deptford Township,NJ,1,0,0,0,1,0
Depue,IL,2,1,0,1,2,0
Dequincy,LA,3,1,1,1,3,1
Derby,CT,2,0,1,0,2,1
Derby,KS,8,4,2,4,8,2
Derby,VT,3,0,0,0,3,0
Derby Line,VT,1,0,0,0,1,0
Deridder,LA,6,3,4,3,6,4
Derma,MS,1,0,0,0,1,0
Derry,NH,11,1,2,1,11,2
Derry,PA,6,0,1,0,6,1
Des Moines,IA,526,229,55,229,526,55
Des Moines,WA,2,1,1,1,2,1
Des Moines (Beaverdale),IA,1,0,0,0,1,0
Des Moines (Norwoodville),IA,1,0,0,0,1,0
Des Moines (county),IA,1,0,0,0,1,0
Des Peres,MO,2,1,0,1,2,0
Des Plaines,IL,15,1,4,1,15,4
Des Plaines (Rosemont),IL,2,0,2,0,2,2
Descanso,CA,1,0,2,0,1,2
Desert Hot Springs,CA,74,39,20,39,74,20
Desert Hot Springs (Desert Edge),CA,1,0,1,0,1,1
Desert Springs,AZ,1,1,0,1,1,0
Desha,AR,2,1,1,1,2,1
Deshka River,AK,1,0,0,0,1,0
Deskins,VA,1,0,0,0,1,0
Desoto,TX,5,2,4,2,5,4
Desoto (county),MS,2,1,1,1,2,1
Desoto County,MS,1,0,1,0,1,1
Destin,FL,15,6,3,6,15,3
Destrehan,LA,8,2,4,2,8,4
Detroit,AL,1,0,1,0,1,1
Detroit,ME,1,0,0,0,1,0
Detroit,MI,1832,1025,603,1025,1832,603
Detroit (Redford Charter Township),MI,2,3,1,3,2,1
Detroit Lakes,MN,9,2,0,2,9,0
Devens,MA,2,2,0,2,2,0
Deville,LA,4,0,0,0,4,0
Devils Lake,ND,7,1,0,1,7,0
Devine,TX,3,1,1,1,3,1
Devol,OK,1,0,1,0,1,1
Dewey,AZ,1,1,1,1,1,1
Dewey,OK,2,0,0,0,2,0
Dewitt,AR,1,0,1,0,1,1
Dewitt,MI,1,1,1,1,1,1
Dewitt,NY,2,0,0,0,2,0
Dewitt,VA,1,2,0,2,1,0
Dewitt County,TX,1,0,1,0,1,1
Dexter,KS,1,0,1,0,1,1
Dexter,ME,1,0,0,0,1,0
Dexter,MI,3,0,1,0,3,1
Dexter (Midway),NM,1,0,0,0,1,0
Dexter (Ripley),ME,1,0,0,0,1,0
Diamond,MO,1,0,1,0,1,1
Diamond,WV,1,0,0,0,1,0
Diamond Bar,CA,1,0,0,0,1,0
Diamond Point,NY,1,0,2,0,1,2
Diamond Springs,CA,3,3,1,3,3,1
Diamondhead,MS,2,0,0,0,2,0
Diana,TX,2,0,1,0,2,1
Dibble,OK,1,0,1,0,1,1
Diberville,MS,8,2,2,2,8,2
Diboll,TX,2,0,2,0,2,2
Diboll (Burke),TX,1,1,0,1,1,0
Dickens,IA,1,1,0,1,1,0
Dickenson (county),VA,1,0,0,0,1,0
Dickinson,ND,46,16,5,16,46,5
Dickinson,NY,1,0,0,0,1,0
Dickinson,TX,11,4,4,4,11,4
Dickinson (San Leon),TX,3,0,1,0,3,1
Dickinson (county),KS,1,0,1,0,1,1
Dickson,TN,8,2,3,2,8,3
Dickson (county),TN,1,0,0,0,1,0
Dickson City,PA,2,0,0,0,2,0
Dieterich,IL,2,0,0,0,2,0
Dighton,MA,1,1,0,1,1,0
Dilley,TX,2,0,2,0,2,2
Dilliner,PA,1,0,0,0,1,0
Dillingham,AK,7,1,0,1,7,0
Dillon,MT,2,0,0,0,2,0
Dillon,SC,32,23,11,23,32,11
Dillon (county),SC,7,7,3,7,7,3
Dillon Beach,CA,1,0,1,0,1,1
Dillon County,SC,2,1,3,1,2,3
Dillonvale,OH,1,0,1,0,1,1
Dillsburg,PA,1,0,2,0,1,2
Dillwyn,VA,1,0,2,0,1,2
Dilworth,MN,1,0,0,0,1,0
Dime Box,TX,1,1,0,1,1,0
Dimmitt,TX,2,0,0,0,2,0
Dingess,WV,2,1,2,1,2,2
Dingmans Ferry,PA,3,1,2,1,3,2
Dinosaur,CO,1,0,1,0,1,1
Dinuba,CA,4,2,3,2,4,3
Dinwiddie,VA,8,3,2,3,8,2
Dinwiddie (county),VA,5,6,1,6,5,1
Dinwiddie County,VA,1,0,1,0,1,1
Discovery Bay,CA,2,1,1,1,2,1
Disputanta,VA,5,2,2,2,5,2
District Heights,MD,25,6,23,6,25,23
District Heights (Forestville),MD,10,5,8,5,10,8
District Of Columbia,DC,1,0,1,0,1,1
Dittmer,MO,1,0,0,0,1,0
Divide,CO,1,0,1,0,1,1
Dix,IL,1,1,0,1,1,0
Dixiana,SC,1,0,1,0,1,1
Dixie,WV,2,1,0,1,2,0
Dixie County,FL,3,1,1,1,3,1
Dixon,CA,4,1,1,1,4,1
Dixon,IL,5,1,2,1,5,2
Dixon,KY,1,1,0,1,1,0
Dixon,MO,2,1,0,1,2,0
Dobson,NC,5,2,2,2,5,2
Docena,AL,2,3,0,3,2,0
Dodd City,TX,2,2,1,2,2,1
Doddridge (county),WV,1,0,0,0,1,0
Dodge (county),GA,1,0,1,0,1,1
Dodge (county),NE,2,0,1,0,2,1
Dodge City,KS,6,2,6,2,6,6
Dodge County,GA,2,1,1,1,2,1
Dodge County,NE,1,0,0,0,1,0
Doe Run,MO,1,1,0,1,1,0
Doerun,GA,4,1,2,1,4,2
Dolan Springs,AZ,2,1,0,1,2,0
Doland,SD,1,1,0,1,1,0
Dolgeville,NY,1,0,0,0,1,0
Dolomite,AL,1,1,0,1,1,0
Dolton,IL,33,26,19,26,33,19
Dona Ana (county),NM,4,0,0,0,4,0
Donalds,SC,1,0,0,0,1,0
Donaldsonville,LA,14,5,6,5,14,6
Donegal,PA,1,1,0,1,1,0
Doniphan,MO,4,1,2,1,4,2
Donna,TX,7,2,8,2,7,8
Donnelsville,OH,1,0,0,0,1,0
Donora,PA,1,0,0,0,1,0
Dora,AL,5,5,2,5,5,2
Doral,FL,2,0,0,0,2,0
Doran,VA,1,0,0,0,1,0
Doraville,GA,1,0,0,0,1,0
Dorchester,MA,25,9,3,9,25,3
Dorchester,SC,7,0,7,0,7,7
Dorchester (county),MD,1,1,0,1,1,0
Dorchester (county),SC,3,2,1,2,3,1
Dorchester Center,MA,2,1,0,1,2,0
Dorchester County,SC,5,1,3,1,5,3
Dorr,MI,2,1,4,1,2,4
Dorset,VT,1,0,0,0,1,0
Dos Palos,CA,8,3,3,3,8,3
Doswell,VA,1,1,0,1,1,0
Dothan,AL,84,48,16,48,84,16
Dothan,WV,1,0,0,0,1,0
Dothan (Grimes),AL,1,1,0,1,1,0
Dothan (Kinsey),AL,1,0,1,0,1,1
Dothan (Rehobeth),AL,1,2,0,2,1,0
Dotsero,CO,1,1,1,1,1,1
Double Springs,AL,1,1,0,1,1,0
Dougherty (county),GA,2,1,0,1,2,0
Dougherty County,GA,2,0,0,0,2,0
Douglas,AK,2,0,2,0,2,2
Douglas,AZ,5,3,0,3,5,0
Douglas,GA,34,10,11,10,34,11
Douglas,WY,3,0,2,0,3,2
Douglas (county),CO,1,0,0,0,1,0
Douglas (county),MN,1,1,0,1,1,0
Douglas (county),MO,3,3,2,3,3,2
Douglas (county),NE,1,1,0,1,1,0
Douglas (county),OR,3,1,0,1,3,0
Douglas City,CA,1,1,0,1,1,0
Douglas County,MN,1,0,1,0,1,1
Douglas County,MO,1,1,0,1,1,0
Douglassville,PA,2,1,0,1,2,0
Douglasville,GA,22,15,16,15,22,16
Dover,AR,5,2,3,2,5,3
Dover,DE,277,92,22,92,277,22
Dover,FL,2,0,0,0,2,0
Dover,MD,1,0,0,0,1,0
Dover,NC,2,1,1,1,2,1
Dover,NH,19,3,4,3,19,4
Dover,NJ,6,1,0,1,6,0
Dover,NY,2,0,0,0,2,0
Dover,OH,1,0,1,0,1,1
Dover,OK,1,1,0,1,1,0
Dover,PA,3,1,3,1,3,3
Dover,VT,1,0,0,0,1,0
Dover (Leipsic),DE,2,0,0,0,2,0
Dover (Victory Gardens),NJ,1,2,0,2,1,0
Dover Plains,NY,1,0,0,0,1,0
Dover-Foxcroft,ME,1,1,0,1,1,0
Dow,IL,1,0,0,0,1,0
Dowagiac,MI,13,5,1,5,13,1
Downers Grove,IL,5,1,0,1,5,0
Downey,CA,16,12,10,12,16,10
Downey,ID,1,0,1,0,1,1
Downingtown,PA,2,0,0,0,2,0
Downs,IL,1,1,0,1,1,0
Downsville,LA,2,1,0,1,2,0
Doylestown,OH,1,0,0,0,1,0
Doyline,LA,2,2,0,2,2,0
Doña Ana County,NM,1,0,0,0,1,0
Dracut,MA,5,0,1,0,5,1
Draper,UT,8,2,3,2,8,3
Draper,VA,2,0,4,0,2,4
Drasco,AR,1,0,0,0,1,0
Dresden,TN,2,0,1,0,2,1
Dresser,WI,1,0,0,0,1,0
Drew (county),AR,1,1,0,1,1,0
Drewryville,VA,1,0,0,0,1,0
Drexel,MO,1,0,0,0,1,0
Drexel Hill,PA,8,1,2,1,8,2
Driggs,ID,2,0,1,0,2,1
Dripping Springs,TX,4,3,0,3,4,0
Drummond Island,MI,1,0,1,0,1,1
Drummond Island (Drummond),MI,1,0,1,0,1,1
Drummonds,TN,2,0,0,0,2,0
Drumright,OK,1,0,1,0,1,1
Drums,PA,1,0,1,0,1,1
Dry Creek,LA,1,0,1,0,1,1
Dry Creek,WV,3,1,0,1,3,0
Dry Fork,VA,1,0,0,0,1,0
Dry Ridge,KY,4,2,4,2,4,4
Dry Run,PA,1,0,0,0,1,0
Dryden,NY,5,2,0,2,5,0
Dryfork,WV,1,0,2,0,1,2
Du Quoin,IL,4,4,0,4,4,0
Duanesburg,NY,1,0,0,0,1,0
Duarte,CA,17,9,8,9,17,8
Dubach,LA,1,1,0,1,1,0
Dublin,CA,4,0,2,0,4,2
Dublin,GA,13,6,9,6,13,9
Dublin,NH,1,0,0,0,1,0
Dublin,OH,10,5,4,5,10,4
Dublin,VA,1,1,0,1,1,0
Dubois,ID,1,1,0,1,1,0
Dubois,PA,1,0,0,0,1,0
Dubois,WY,2,0,2,0,2,2
Dubois (county),IN,2,2,0,2,2,0
Dubois County,IN,1,0,0,0,1,0
Dubuque,IA,60,23,3,23,60,3
Duchesne,UT,1,0,1,0,1,1
Duck,WV,1,1,0,1,1,0
Duck Hill,MS,1,0,1,0,1,1
Ducktown,TN,1,0,0,0,1,0
Dudley,MA,3,0,1,0,3,1
Dudley,NC,24,15,6,15,24,6
Duff,TN,2,1,0,1,2,0
Duffield,VA,1,0,2,0,1,2
Dugway,UT,1,0,1,0,1,1
Dulce,NM,2,0,3,0,2,3
Dulles,VA,23,0,0,0,23,0
Duluth,GA,16,8,10,8,16,10
Duluth,MN,65,18,5,18,65,5
Duluth (Hermantown),MN,1,1,0,1,1,0
Duluth (Midway Township),MN,1,1,0,1,1,0
Duluth (Proctor),MN,1,0,0,0,1,0
Dumas,AR,3,1,4,1,3,4
Dumas,TX,1,1,1,1,1,1
Dumas (Pendleton),AR,1,3,0,3,1,0
Dumfries,VA,16,9,2,9,16,2
Dummerston,VT,2,0,0,0,2,0
Dunbar,PA,2,1,1,1,2,1
Dunbar,WV,19,11,4,11,19,4
Dunbarton,NH,4,2,1,2,4,1
Duncan,OK,5,1,6,1,5,6
Duncan,SC,7,3,2,3,7,2
Duncannon,PA,8,2,3,2,8,3
Duncannon (Watts),PA,1,0,0,0,1,0
Duncansville,PA,2,1,0,1,2,0
Duncanville,AL,1,0,0,0,1,0
Duncanville,TX,9,4,4,4,9,4
Dundalk,MD,29,25,5,25,29,5
Dundee,MI,1,0,0,0,1,0
Dundee,OH,1,0,2,0,1,2
Dundee (East Dundee),IL,1,0,0,0,1,0
Dundee (West Dundee),IL,3,1,0,1,3,0
Dundee Township,IL,1,0,1,0,1,1
Dunedin,FL,5,1,1,1,5,1
Dunellen,NJ,1,2,0,2,1,0
Dungannon,VA,1,1,0,1,1,0
Dunkerton,IA,4,0,1,0,4,1
Dunkirk,MD,1,0,0,0,1,0
Dunkirk,NY,18,1,3,1,18,3
Dunklin (county),MO,1,1,0,1,1,0
Dunklin County,MO,1,0,1,0,1,1
Dunlap,CA,2,0,1,0,2,1
Dunlap,TN,4,2,2,2,4,2
Dunmor,KY,2,0,2,0,2,2
Dunn,NC,3,0,3,0,3,3
Dunn,WI,1,0,0,0,1,0
Dunnellon,FL,14,2,4,2,14,4
Dunnellon (Citrus Springs),FL,1,0,0,0,1,0
Dunseith,ND,2,1,0,1,2,0
Dunsmuir,CA,2,0,1,0,2,1
Dunstable,MA,2,0,0,0,2,0
Dunwoody,GA,5,0,0,0,5,0
Duplin (county),NC,2,0,1,0,2,1
Duplin County,NC,3,1,1,1,3,1
Dupo,IL,2,2,0,2,2,0
Dupont,WA,1,0,0,0,1,0
Dupree,SD,1,0,0,0,1,0
Duquesne,PA,22,18,4,18,22,4
Durango,CO,8,1,4,1,8,4
Durango,IA,1,0,0,0,1,0
Durant,IA,1,1,1,1,1,1
Durant,MS,5,2,3,2,5,3
Durant,OK,8,4,0,4,8,0
Durant (Silo),OK,1,0,0,0,1,0
Durham,CA,2,0,1,0,2,1
Durham,CT,1,0,2,0,1,2
Durham,NC,517,390,129,390,517,129
Durham,NH,6,0,1,0,6,1
Durham (county),NC,1,1,0,1,1,0
Duryea,PA,1,0,0,0,1,0
Dushore,PA,1,1,0,1,1,0
Dushore (Wilmot Township),PA,1,0,2,0,1,2
Duson,LA,7,1,3,1,7,3
Duvall,WA,1,1,0,1,1,0
Duxbury,MA,3,3,0,3,3,0
Duxbury,VT,1,0,1,0,1,1
Dwight,IL,1,1,3,1,1,3
Dyer,IN,6,2,2,2,6,2
Dyer,TN,1,0,0,0,1,0
Dyer (county),TN,2,2,0,2,2,0
Dyer County,TN,1,1,0,1,1,0
Dyersburg,TN,40,30,2,30,40,2
Eads,TN,1,0,0,0,1,0
Eagan,MN,3,2,1,2,3,1
Eagar,AZ,2,2,2,2,2,2
Eagle,AK,1,0,0,0,1,0
Eagle,NE,2,0,0,0,2,0
Eagle (county),CO,2,1,0,1,2,0
Eagle Bridge (White Creek),NY,1,0,0,0,1,0
Eagle Butte,SD,6,1,2,1,6,2
Eagle County,CO,1,0,0,0,1,0
Eagle Creek,OR,3,4,2,4,3,2
Eagle Grove,IA,1,2,0,2,1,0
Eagle Mountain,UT,8,1,2,1,8,2
Eagle Pass,TX,1,0,0,0,1,0
Eagle Point,OR,13,0,1,0,13,1
Eagle River,AK,16,6,2,6,16,2
Eagle River,WI,2,0,2,0,2,2
Eagle Springs,NC,2,0,1,0,2,1
Eagleville,PA,2,0,2,0,2,2
Eagleville,TN,1,0,0,0,1,0
Earl Township,PA,1,0,0,0,1,0
Earle,AR,1,0,1,0,1,1
Earlimart,CA,5,4,2,4,5,2
Earlington,KY,2,2,0,2,2,0
Earlville,NY,1,0,0,0,1,0
Early,IA,1,1,0,1,1,0
Early,TX,1,0,0,0,1,0
Earlysville,VA,1,1,0,1,1,0
Easley,SC,35,15,19,15,35,19
Easley (Powdersville),SC,1,0,0,0,1,0
East Alton,IL,4,0,0,0,4,0
East Amherst,NY,1,0,0,0,1,0
East Arlington,MD,1,1,0,1,1,0
East Arlington,TX,1,1,0,1,1,0
East Aurora,NY,3,0,0,0,3,0
East Bangor,PA,1,0,0,0,1,0
East Bank (Crown Hill),WV,1,0,0,0,1,0
East Bend,NC,1,0,0,0,1,0
East Bernstadt,KY,5,4,3,4,5,3
East Bethany,NY,1,0,0,0,1,0
East Brady,PA,1,0,0,0,1,0
East Bridgewater,MA,3,1,0,1,3,0
East Brookfield,MA,1,0,0,0,1,0
East Brunswick,NJ,5,0,0,0,5,0
East Canton,OH,1,0,2,0,1,2
East Carondelet,IL,1,0,0,0,1,0
East Chicago,IN,88,57,27,57,88,27
East Cleveland,OH,4,1,3,1,4,3
East Donegal Township,PA,1,0,0,0,1,0
East Dublin,GA,2,1,2,1,2,2
East Earl,PA,4,1,0,1,4,0
East Elmhurst,NY,3,0,0,0,3,0
East Falmouth,MA,3,1,1,1,3,1
East Feliciana (county),LA,1,1,0,1,1,0
East Feliciana Parish,LA,1,1,0,1,1,0
East Fishkill,NY,1,1,0,1,1,0
East Flat Rock,NC,1,0,1,0,1,1
East Freedom,PA,1,0,0,0,1,0
East Granby,CT,2,0,0,0,2,0
East Grand Forks,MN,1,0,0,0,1,0
East Greenbush,NY,4,0,0,0,4,0
East Greenwich,RI,3,0,0,0,3,0
East Hampton,CT,4,0,0,0,4,0
East Hampton,NY,2,0,0,0,2,0
East Hanover,NJ,1,0,0,0,1,0
East Hartford,CT,13,6,3,6,13,3
East Haven,CT,7,1,2,1,7,2
East Helena,MT,3,0,0,0,3,0
East Islip,NY,1,0,0,0,1,0
East Kingston,NH,2,0,0,0,2,0
East Lampeter,PA,1,2,0,2,1,0
East Lansing,MI,13,3,3,3,13,3
East Liberty,PA,1,1,0,1,1,0
East Liverpool,OH,3,5,0,5,3,0
East Longmeadow,MA,4,1,0,1,4,0
East Los Angeles,CA,1,0,1,0,1,1
East Lyme,CT,2,0,0,0,2,0
East Meadow,NY,2,0,0,0,2,0
East Millcreek,UT,1,0,2,0,1,2
East Moline,IL,15,6,2,6,15,2
