Law ID,state,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change
CA1084,California,6,13,firearms in college/university,public : CCW allowed,handgun,Permissive,Implement
CA1085,California,6,13,firearms in college/university,public : possession prohibited,handgun,Restrictive,Implement
CA1086,California,6,13,firearms in college/university,public : possession prohibited,long gun,Restrictive,Implement
CA1087,California,6,13,firearms in college/university,public and private : CCW not allowed,handgun,Restrictive,Repeal
CA1088,California,6,12,local laws preempted by state,selective : manufacture  sale or possession of imitation firearms,handgun and long gun,Permissive,Implement
CA1089,California,6,12,local laws preempted by state,selective : permit to purchase  own  possess  or carry at home or place of business,handgun,Permissive,Implement
CA1090,California,6,12,local laws preempted by state,selective : registration and licensing of firearms,handgun,Permissive,Implement
CA1091,California,6,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
CA1092,California,6,10,prohibited possessor,convicted of firearm-prohibiting crime : removal,handgun and long gun,Restrictive,Implement
CA1093,California,6,11,required reporting of lost or stolen firearms,lost and stolen firearms,handgun,Restrictive,Implement
CA1094,California,6,11,required reporting of lost or stolen firearms,lost and stolen firearms,long gun,Restrictive,Implement
CA1095,California,6,11,required reporting of lost or stolen firearms,,handgun and long gun,,
CO1001,Colorado,8,1,background checks,private sales,long gun,Restrictive,Implement
CO1002,Colorado,8,1,background checks,private sales,handgun,,
CO1003,Colorado,8,1,background checks,sales from dealer,handgun,Restrictive,Implement
CO1004,Colorado,8,1,background checks,sales from dealer,handgun,Permissive,See note
CO1006,Colorado,8,1,background checks,sales from dealer,handgun,,
CO1007,Colorado,8,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
CO1008,Colorado,8,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
CO1009,Colorado,8,3,castle doctrine,,handgun and long gun,Permissive,Modify
CO1010,Colorado,8,3,castle doctrine,,handgun and long gun,Permissive,Implement
CO1011,Colorado,8,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
CO1012,Colorado,8,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,Restrictive,Implement
CO1013,Colorado,8,5,dealer license,,handgun,,
CO1014,Colorado,8,7,minimum age,youth possession,handgun,Restrictive,Implement
CO1015,Colorado,8,7,minimum age,youth possession,handgun,,
CO1016,Colorado,8,7,minimum age,purchase and sale,handgun,Restrictive,Implement
CO1017,Colorado,8,7,minimum age,purchase and sale,handgun,,
CO1019,Colorado,8,8,open carry,not restricted,long gun,,
CO1020,Colorado,8,11,registration,,handgun,,
CO1021,Colorado,8,1,background checks,state version of Brady requirements,handgun,Restrictive,Implement
CO1022,Colorado,8,1,background checks,state version of Brady requirements,handgun,Permissive,Repeal
CO1023,Colorado,8,13,waiting period,,handgun,,
CO1025,Colorado,8,1,background checks,private sales,handgun,Restrictive,Implement
CO1026,Colorado,8,1,background checks,sales from dealer,long gun,,
CO1027,Colorado,8,4,child access laws,negligent storage,handgun and long gun,,
CO1028,Colorado,8,5,dealer license,,long gun,,
CO1029,Colorado,8,11,registration,,long gun,,
CO1030,Colorado,8,1,background checks,private sales,long gun,,
CO1031,Colorado,8,7,minimum age,purchase and sale,long gun,,
CO1032,Colorado,8,13,waiting period,,long gun,,
CO1033,Colorado,8,10,prohibited possessor,dvro : ex parte : discretionary : surrender,handgun and long gun,Restrictive,Implement
CO1034,Colorado,8,10,prohibited possessor,dvro : surrender,handgun and long gun,Restrictive,Implement
CO1035,Colorado,8,10,prohibited possessor,dvro,handgun and long gun,Restrictive,Implement
CO1036,Colorado,8,12,safety training required,,handgun,,
CO1037,Colorado,8,10,prohibited possessor,erpo : expanded,handgun and long gun,Restrictive,Implement
CO1038,Colorado,8,10,prohibited possessor,erpo : expanded ex parte,handgun and long gun,Restrictive,Implement
CO1039,Colorado,8,10,prohibited possessor,erpo,handgun and long gun,,
CO1040,Colorado,8,10,prohibited possessor,dvro,handgun and long gun,,
CO1041,Colorado,8,10,prohibited possessor,mental health,handgun and long gun,,
CO1042,Colorado,8,12,safety training required,,long gun,,
CO1043,Colorado,8,7,minimum age,youth possession,long gun,,
CO1044,Colorado,8,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
CO1045,Colorado,8,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
CO1046,Colorado,8,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
CO1047,Colorado,8,9,permit to purchase,,handgun,,
CO1048,Colorado,8,9,permit to purchase,,long gun,,
CO1049,Colorado,8,6,firearm sales restrictions,,handgun and long gun,,
CO1050,Colorado,8,8,open carry,not restricted,handgun,,
CO1051,Colorado,8,14,firearm removal at scene of domestic violence,,handgun and long gun,,
CO1052,Colorado,8,13,firearms in college/university,,handgun and long gun,,
CO1053,Colorado,8,13,firearms in college/university,public : CCW allowed,handgun,Permissive,Implement
CO1054,Colorado,8,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement
CO1055,Colorado,8,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement
CO1056,Colorado,8,12,local laws preempted by state,,handgun and long gun,,
CO1057,Colorado,8,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Modify
CO1058,Colorado,8,12,local laws preempted by state,selective : firearms in private vehicles,handgun and long gun,Permissive,Implement
CO1059,Colorado,8,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
CO1060,Colorado,8,11,required reporting of lost or stolen firearms,,handgun and long gun,,
CT1001,Connecticut,9,1,background checks,permit to purchase,long gun,Restrictive,Implement
CT1002,Connecticut,9,1,background checks,private sales,handgun,Restrictive,Implement
CT1003,Connecticut,9,1,background checks,private sales,handgun,,
CT1004,Connecticut,9,1,background checks,sales from dealer,handgun,Restrictive,Implement
CT1005,Connecticut,9,1,background checks,sales from dealer,handgun,,
CT1006,Connecticut,9,1,background checks,sales from dealer,long gun,Restrictive,Implement
CT1007,Connecticut,9,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
CT1008,Connecticut,9,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
CT1009,Connecticut,9,3,castle doctrine,expanded 1,handgun and long gun,Permissive,Modify
CT1010,Connecticut,9,4,child access laws,negligent storage,handgun and long gun,,
CT1011,Connecticut,9,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
CT1012,Connecticut,9,5,dealer license,,handgun,Restrictive,Implement
CT1013,Connecticut,9,5,dealer license,,handgun,Restrictive,Modify
CT1014,Connecticut,9,5,dealer license,,long gun,,
CT1015,Connecticut,9,6,firearm sales restrictions,assault weapons ban,long gun,Restrictive,Implement
CT1016,Connecticut,9,7,minimum age,youth possession,handgun,,
CT1017,Connecticut,9,7,minimum age,youth possession,long gun,,
CT1018,Connecticut,9,7,minimum age,purchase and sale,handgun,Restrictive,Implement
CT1019,Connecticut,9,7,minimum age,purchase and sale,handgun,Restrictive,Modify
CT1021,Connecticut,9,7,minimum age,purchase and sale,long gun,Restrictive,Implement
CT1023,Connecticut,9,8,open carry,license required,handgun,Permissive,Implement
CT1024,Connecticut,9,9,permit to purchase,,handgun,Restrictive,Implement
CT1025,Connecticut,9,9,permit to purchase,,long gun,Restrictive,Implement
CT1026,Connecticut,9,11,registration,,handgun,Restrictive,Implement
CT1027,Connecticut,9,11,registration,,long gun,Restrictive,Implement
CT1028,Connecticut,9,11,registration,,long gun,,
CT1029,Connecticut,9,1,background checks,extra time,handgun,Restrictive,Implement
CT1030,Connecticut,9,13,waiting period,,handgun,Restrictive,Implement
CT1031,Connecticut,9,13,waiting period,,handgun,Restrictive,Modify
CT1032,Connecticut,9,13,waiting period,,handgun,Permissive,Repeal
CT1033,Connecticut,9,13,waiting period,,long gun,Permissive,Implement
CT1034,Connecticut,9,13,waiting period,,long gun,Restrictive,Modify
CT1035,Connecticut,9,13,waiting period,,long gun,Permissive,Repeal
